county_fips,county_name,population,housing_units,land_area,density_pop,density_housing_units
1,Alabama,4779736(r38235),2171853(r15032),50645.33,94.4,42.9
1001,Autauga County,54571,22135,594.44,91.8,37.2
1003,Baldwin County,182265,104061,1589.78,114.6,65.5
1005,Barbour County,27457,11829(r15033),884.88,31,13.4
1007,Bibb County,22915,8981,622.58,36.8,14.4
1009,Blount County,57322,23887,644.78,88.9,37
1011,Bullock County,10914,4493,622.8,17.5,7.2
1013,Butler County,20947,9964,776.83,27,12.8
1015,Calhoun County,118572,53289,605.87,195.7,88
1017,Chambers County,34215,17004,596.53,57.4,28.5
1019,Cherokee County,25989,16267,553.7,46.9,29.4
1021,Chilton County,43643,19278,692.85,63,27.8
1023,Choctaw County,13859,7269,913.5,15.2,8
1025,Clarke County,25833,12638,1238.46,20.9,10.2
1027,Clay County,13932,6776,603.96,23.1,11.2
1029,Cleburne County,14972,6718,560.1,26.7,12
1031,Coffee County,49948,22330,678.97,73.6,32.9
1033,Colbert County,54428,25758,592.62,91.8,43.5
1035,Conecuh County,13228,7093,850.16,15.6,8.3
1037,Coosa County,11539,6478,650.93,17.7,10
1039,Covington County,37765,18829,1030.46,36.6,18.3
1041,Crenshaw County,13906,6735,608.84,22.8,11.1
1043,Cullman County,80406,37054,734.84,109.4,50.4
1045,Dale County,50251,22677,561.15,89.6,40.4
1047,Dallas County,43820,20208,978.69,44.8,20.6
1049,DeKalb County,71109,31109,777.09,91.5,40
1051,Elmore County,79303,32657,618.48,128.2,52.8
1053,Escambia County,38319,16486,945.08,40.5,17.4
1055,Etowah County,104430,47454,534.99,195.2,88.7
1057,Fayette County,17241,8437,627.66,27.5,13.4
1059,Franklin County,31704,14022,633.82,50,22.1
1061,Geneva County,26790,12687,574.41,46.6,22.1
1063,Greene County,9045,5007,647.11,14,7.7
1065,Hale County,15760,7655,643.94,24.5,11.9
1067,Henry County,17302,8891,561.75,30.8,15.8
1069,Houston County,101547,45319,579.82,175.1,78.2
1071,Jackson County,53227,24786,1077.87,49.4,23
1073,Jefferson County,658466(r38264),300552(r15062),1111.28,592.5,270.5
1075,Lamar County,14564,7354,604.85,24.1,12.2
1077,Lauderdale County,92709,43791,667.7,138.8,65.6
1079,Lawrence County,34339,15229,690.68,49.7,22
1081,Lee County,140247(r38032),62391(r14841),607.54,230.8,102.7
1083,Limestone County,82782,34977,559.94,147.8,62.5
1085,Lowndes County,11299,5140,715.91,15.8,7.2
1087,Macon County,21452,10259,608.89,35.2,16.8
1089,Madison County,334811,146447,801.59,417.7,182.7
1091,Marengo County,21027,10237,976.88,21.5,10.5
1093,Marion County,30776,14737,742.29,41.5,19.9
1095,Marshall County,93019,40342,565.84,164.4,71.3
1097,Mobile County,412992(r38160),178196(r14961),1229.44,335.9,144.9
1099,Monroe County,23068,11333,1025.67,22.5,11
1101,Montgomery County,229363,101641,784.25,292.5,129.6
1103,Morgan County,119490,51193,579.34,206.3,88.4
1105,Perry County,10591,4737,719.66,14.7,6.6
1107,Pickens County,19746,9483,881.41,22.4,10.8
1109,Pike County,32899,15267,672.09,48.9,22.7
1111,Randolph County,22913,11982,580.55,39.5,20.6
1113,Russell County,52947,24595,641.14,82.6,38.4
1115,St. Clair County,83593,35541,631.9,132.3,56.2
1117,Shelby County,195085,80970,784.93,248.5,103.2
1119,Sumter County,13763,6786,903.89,15.2,7.5
1121,Talladega County,82291,37088,736.78,111.7,50.3
1123,Tallapoosa County,41616,22111,716.52,58.1,30.9
1125,Tuscaloosa County,194656,84872,1321.75,147.3,64.2
1127,Walker County,67023,30816,791.19,84.7,38.9
1129,Washington County,17581,8407,1080.21,16.3,7.8
1131,Wilcox County,11670,5649,888.5,13.1,6.4
1133,Winston County,24484,13469,612.98,39.9,22
2,Alaska,710231(r38823),306967(r15611),570640.95,1.2,0.5
2013,Aleutians East Borough,3141,747,6981.94,0.4,0.1
2016,Aleutians West Census Area,5561,1929,4390.28,1.3,0.4
2020,Anchorage Municipality,291826,113032,1704.68,171.2,66.3
2050,Bethel Census Area,17013,5919,40570,0.4,0.1
2060,Bristol Bay Borough,997,969,503.84,2,1.9
2068,Denali Borough,1826,1771,12751.41,0.1,0.1
2070,Dillingham Census Area,4847,2427,18568.78,0.3,0.1
2090,Fairbanks North Star Borough,97581,41783,7338.21,13.3,5.7
2100,Haines Borough,2508,1631,2318.6,1.1,0.7
2105,Hoonah-Angoon Census Area,2150,1771,7524.91,0.3,0.2
2110,Juneau City and Borough,31275,13055,2701.93,11.6,4.8
2122,Kenai Peninsula Borough,55400,30578,16075.33,3.4,1.9
2130,Ketchikan Gateway Borough,13477,6166,4858.41,2.8,1.3
2150,Kodiak Island Borough,13592,5303,6549.58,2.1,0.8
2164,Lake and Peninsula Borough,1631(r38835),1502(r15613),23652.01,0.1,0.1
2170,Matanuska-Susitna Borough,88995,41329,24607.9,3.6,1.7
2180,Nome Census Area,9492,4008,22961.76,0.4,0.2
2185,North Slope Borough,9430,2500,88695.41,0.1,0
2188,Northwest Arctic Borough,7523,2707,35572.58,0.2,0.1
2195,Petersburg Census Area,3815,1994,3281.98,1.2,0.6
2198,Prince of Wales-Hyder Census Area,5559,2992,3922.87,1.4,0.8
2220,Sitka City and Borough,8881,4102,2870.34,3.1,1.4
2230,Skagway Municipality,968,636,452.32,2.1,1.4
2240,Southeast Fairbanks Census Area,7029,3915,24768.81,0.3,0.2
2261,Valdez-Cordova Census Area,9636,6102,34239.88,0.3,0.2
2270,Wade Hampton Census Area,7459,2183,17081.43,0.4,0.1
2275,Wrangell City and Borough,2369,1428,2541.48,0.9,0.6
2282,Yakutat City and Borough,662,450,7649.46,0.1,0.1
2290,Yukon-Koyukuk Census Area,5588,4038,145504.79,0,0
4,Arizona,6392017,2844526,113594.08,56.3,25
4001,Apache County,71518,32514,11197.52,6.4,2.9
4003,Cochise County,131346,59041,6165.69,21.3,9.6
4005,Coconino County,134421,63321,18618.89,7.2,3.4
4007,Gila County,53597,32698,4757.93,11.3,6.9
4009,Graham County,37220,12980,4622.6,8.1,2.8
4011,Greenlee County,8437,4372,1843.13,4.6,2.4
4012,La Paz County,20489,16049,4499.63,4.6,3.6
4013,Maricopa County,3817117,1639279,9200.14,414.9,178.2
4015,Mohave County,200186,110911,13311.08,15,8.3
4017,Navajo County,107449,56938,9950.42,10.8,5.7
4019,Pima County,980263,440909,9187.04,106.7,48
4021,Pinal County,375770,159222,5365.61,70,29.7
4023,Santa Cruz County,47420,18010,1236.92,38.3,14.6
4025,Yavapai County,211033,110432,8123.5,26,13.6
4027,Yuma County,195751,87850,5513.99,35.5,15.9
5,Arkansas,2915918(r39193),1316299(r15934),52035.48,56,25.3
5001,Arkansas County,19019,9436,988.77,19.2,9.5
5003,Ashley County,21853,10137,925.35,23.6,11
5005,Baxter County,41513,22580,554.28,74.9,40.7
5007,Benton County,221339,93084,847.36,261.2,109.9
5009,Boone County,36903,16827,590.23,62.5,28.5
5011,Bradley County,11508,5860,649.23,17.7,9
5013,Calhoun County,5368,2897,628.58,8.5,4.6
5015,Carroll County,27446,13559,630.09,43.6,21.5
5017,Chicot County,11800,5421,644.3,18.3,8.4
5019,Clark County,22995,10385,866.07,26.6,12
5021,Clay County,16083,8031,639.46,25.2,12.6
5023,Cleburne County,25970,15826,553.69,46.9,28.6
5025,Cleveland County,8689,4064,597.78,14.5,6.8
5027,Columbia County,24552,11596,766.05,32.1,15.1
5029,Conway County,21273,9720,552.25,38.5,17.6
