state,county,county_fips,county_population,white_pct,black_pct,hispanic_pct,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,lesshs_pct,lesscollege_pct,rural_pct,trumpshare,voter_participation,state_fips,effectivedate_MDY,stateeffectivedate_MDY,density_pop,density_housing_units,vehicles,pubtrans,teleworkable,beds_licensed,beds_staffed,beds_icu,beds_icu_adult,beds_icu_pediatric,obesity,sufficient_phys_activity,binge_drinker,heavy_drinker,smoke_daily,diabetes
Alabama,Autauga,1001,55049,75.683479,18.370907,2.5722537,24.316519,51.176224,40.03706,13.978456,53099,12.417046,75.407227,42.002163,.7276659,.613738,1,04/05/2020,04/05/2020,91.800003,37.200001,2.52120897652095,0.00078959093549606,0.461634121274409,85,55,6,6,0,37.96719,50.168839,13.2,6.3000002,18.41,15.45
Alabama,Baldwin,1003,199510,83.178787,9.2256031,4.3666983,16.821213,51.194927,35.474411,18.714851,51365,9.9724178,70.452888,42.279099,.76545709,.6273638,1,04/05/2020,04/05/2020,114.6,65.5,2.32587273626157,0.000561584724895483,0.460458508125194,386,362,51,51,0,33.689568,51.831978,16.9,9.3000002,16.02,13.44
Alabama,Barbour,1005,26614,45.885624,47.888329,4.309762,54.114376,46.498085,37.664387,16.528894,33956,26.235928,87.13221,67.789635,.52096665,.51381594,1,04/05/2020,04/05/2020,31,13.4,2.55559860255835,0.00104672185745551,0.428802376320909,74,30,5,5,0,46.252941,40.632736,12.4,6.4000001,18.73,19.36
Alabama,Bibb,1007,22572,74.765198,21.212122,2.2239943,25.234804,46.464645,37.329433,14.885699,39776,19.301588,88,68.352608,.76403219,.50136441,1,04/05/2020,04/05/2020,36.799999,14.4,2.62899843505477,0.000312989045383412,0.380907209382546,35,25,4,4,0,42.757515,40.270462,11.4,5.5,22.620001,16.68
Alabama,Blount,1009,57704,87.6577,1.557951,8.7272978,12.342299,50.485233,37.240051,17.192915,46212,19.968586,86.950241,89.9515,.89334846,.60306388,1,04/05/2020,04/05/2020,88.900002,37,2.65371863306185,0.000398965441338323,0.412437681119611,25,25,6,6,0,39.98164,40.336155,10.3,5,19.879999,15.06
Alabama,Bullock,1011,10552,21.683094,75.502274,.1231994,78.31691,45.801743,37.935936,15.134572,29335,33.437885,89.744987,51.374382,.24203822,.57474071,1,04/05/2020,04/05/2020,17.5,7.1999998,2.55559860255835,0.00104672185745551,0.428802376320908,61,30,5,5,0,48.385094,39.070614,14.1,7,18.49,23.33
Alabama,Butler,1013,20280,52.781067,43.515778,1.2475345,47.218933,53.047337,37.056213,18.126232,34315,18.940426,83.919991,71.232155,.56126893,.56609398,1,04/05/2020,04/05/2020,27,12.8,2.48753100927014,0.000293772032902468,0.384839510890332,72,44,7,7,0,45.362644,42.380234,12,6,20.219999,18.87
Alabama,Calhoun,1015,115883,72.997765,20.331715,3.4362245,27.002235,51.898037,38.783081,15.930723,41954,17.663137,82.347031,33.696827,.68663293,.54068345,1,04/05/2020,04/05/2020,195.7,88,2.54799850938998,0.000996628794772465,0.398533007334963,486,413,30,30,0,39.736038,44.532818,11.8,5.3000002,19.940001,16.51
Alabama,Chambers,1017,34018,56.743488,40.478569,.43506378,43.256512,52.087132,35.872185,18.387325,36027,19.736732,87.515724,49.148033,.56424463,.52492446,1,04/05/2020,04/05/2020,57.400002,28.5,2.66452890618352,0.000379072124273767,0.366351011076267,115,0,15,15,0,44.332317,40.538448,13.4,7,20.959999,18.45
Alabama,Cherokee,1019,25897,91.871643,4.6067114,1.5638877,8.128355,50.252926,32.710354,20.322817,38925,18.717236,86.0383,85.736275,.83415633,.52343333,1,04/05/2020,04/05/2020,46.900002,29.4,2.56128547696185,0.000884736074954331,0.366754715577216,60,45,8,8,0,40.604221,42.773609,9.8000002,4.8000002,19.77,15.27
Alabama,Chilton,1021,43817,80.610268,10.009813,7.6248946,19.389734,50.797634,38.834244,15.249789,42594,19.902472,85.145454,86.74472,.82100278,.58212644,1,04/05/2020,04/05/2020,63,27.799999,2.66452890618352,0.000379072124273767,0.366351011076267,30,26,6,6,0,43.06184,41.017067,10.8,5,21.08,15.56
Alabama,Choctaw,1023,13287,56.205315,42.229248,.55693537,43.794685,52.216454,33.40107,20.749605,32622,21.147333,88.039795,100,.56308281,.6934855,1,04/05/2020,04/05/2020,15.2,8,2.49559002656257,0.000821825332765883,0.3553699878926,25,25,4,4,0,45.705032,38.385395,10.5,5.0999999,17.620001,19.38
Alabama,Clarke,1025,24847,53.177444,45.494427,.17305912,46.822556,52.758884,36.604015,18.062542,32735,18.957819,87.862762,75.980331,.54792416,.67887473,1,04/05/2020,04/05/2020,20.9,10.2,2.49559002656257,0.000821825332765883,0.3553699878926,85,56,10,10,0,44.321617,42.639778,11.5,5.0999999,17.74,18.72
Alabama,Clay,1027,13483,80.264038,14.744493,3.1076169,19.735964,51.55381,34.843876,19.40221,38815,25.386408,88.937119,100,.79181761,.63938224,1,04/05/2020,04/05/2020,23.1,11.2,2.56128547696185,0.000884736074954331,0.366754715577216,45,46,4,4,0,42.35371,41.501884,9.8999996,4.6999998,22.549999,15.75
Alabama,Cleburne,1029,14991,92.795677,2.3614168,2.3280635,7.2043228,50.483624,36.141685,18.164232,36316,25.815165,88.471924,100,.8742606,.5837096,1,04/05/2020,04/05/2020,26.700001,12,2.56128547696185,0.000884736074954331,0.366754715577216,,,,,,39.33353,44.04475,10.3,5.0999999,22.84,15.11
Alabama,Coffee,1031,50991,71.371422,17.004961,6.5580201,28.628582,50.559902,38.4813,15.783177,47872,14.863928,76.333275,47.195084,.76443398,.54714793,1,04/05/2020,04/05/2020,73.599998,32.900002,2.48753100927014,0.000293772032902468,0.384839510890332,131,99,7,7,0,39.363598,47.218555,13,6.6999998,16.66,15.64
Alabama,Colbert,1033,54377,78.853195,15.64816,2.4017508,21.146809,51.687294,35.588577,18.452654,43786,16.576521,81.529099,43.894688,.67212522,.58991361,1,04/05/2020,04/05/2020,91.800003,43.5,2.5800404396739,0.000440964529243477,0.390977218524543,383,300,22,22,0,40.925972,46.448029,11.9,5.4000001,18.690001,16.54
Alabama,Conecuh,1035,12697,50.720642,46.215641,1.7641963,49.279358,52.52422,35.654091,20.264629,27609,20.572206,91.337418,80.949501,.51936221,.67022902,1,04/05/2020,04/05/2020,15.6,8.3000002,2.49559002656257,0.000821825332765883,0.3553699878926,58,44,8,8,0,45.160755,38.807785,13.4,6.9000001,19.82,19.9
Alabama,Coosa,1037,10864,65.022095,32.36377,1.2886598,34.977909,50.708763,31.084314,18.667158,31910,27.064627,90.059441,100,.64375478,.59988576,1,04/05/2020,04/05/2020,17.700001,10,2.66452890618352,0.000379072124273767,0.366351011076267,,,,,,45.030231,41.993336,11.6,6,22.469999,17.71
Alabama,Covington,1039,37729,83.514008,12.976755,1.531978,16.485992,51.710884,35.344166,20.178112,37313,19.066133,85.078514,69.651794,.83230865,.54412013,1,04/05/2020,04/05/2020,36.599998,18.299999,2.48753100927014,0.000293772032902468,0.384839510890332,187,128,13,13,0,40.595711,43.055111,12.7,6.4000001,21.41,15.23
Alabama,Crenshaw,1041,13896,70.869316,23.675879,1.6839378,29.130686,50.611687,36.895508,17.508636,37557,21.683594,85.352318,100,.72012126,.5948742,1,04/05/2020,04/05/2020,22.799999,11.1,2.48753100927014,0.000293772032902468,0.384839510890332,93,57,5,5,0,42.792183,45.683315,10.8,5.5999999,20.370001,17.27
Alabama,Cullman,1043,81316,92.463966,1.0366963,4.2131929,7.5360322,50.563236,36.932461,17.751734,39297,17.84351,85.030983,73.239563,.87104267,.61457199,1,04/05/2020,04/05/2020,109.4,50.400002,2.61081116671056,0.000620790849919109,0.352955177969826,185,185,12,12,0,38.938782,43.222424,9.6000004,3.9000001,20.129999,15.03
Alabama,Dale,1045,49607,70.191704,19.402504,5.8882818,29.808292,50.726711,39.982262,15.429275,44093,14.165393,83.931305,50.888538,.73646593,.50124317,1,04/05/2020,04/05/2020,89.599998,40.400002,2.46512524280215,0.000258650856844358,0.392977846323746,89,77,6,6,0,41.635201,49.525654,12.8,6.5,17.57,16.78
Alabama,Dallas,1047,41426,28.069328,69.497414,.95833534,71.930672,53.826099,40.699078,15.676146,28136,20.981581,86.215698,45.638977,.30805662,.61381674,1,04/05/2020,04/05/2020,44.799999,20.6,2.62899843505477,0.000312989045383412,0.380907209382546,175,109,23,23,0,48.72205,39.489235,13.1,5.1999998,18.02,21.94
Alabama,DeKalb,1049,70937,81.015549,1.4773673,14.015253,18.984451,50.471546,39.045914,15.532092,38248,27.362986,88.634064,90.130646,.82881594,.52089554,1,04/05/2020,04/05/2020,91.5,40,2.54555924120648,0.000145984217484043,0.342195245652209,134,97,12,12,0,39.922913,41.227116,9.6999998,4.5999999,20.889999,16.01
Alabama,Elmore,1051,80957,73.688499,21.112442,2.8014872,26.311499,51.397655,38.663734,13.887619,53398,13.171974,77.761604,54.188366,.74165326,.60600144,1,04/05/2020,04/05/2020,128.2,52.799999,2.52120897652095,0.00078959093549606,0.461634121274409,138,70,11,11,0,38.134251,49.625473,13.4,7.0999999,19.18,15.67
Alabama,Escambia,1053,37875,60.594059,32.330032,2.059406,39.405941,48.805279,37.737293,16.657425,32334,19.544291,88.374352,63.511574,.66924888,.50613707,1,04/05/2020,04/05/2020,40.5,17.4,2.49559002656257,0.000821825332765883,0.3553699878926,142,95,14,14,0,42.830746,42.897865,12.2,6.1999998,20.77,17.65
Alabama,Etowah,1055,103363,78.431351,15.284966,3.6299255,21.568645,51.620018,36.357304,17.363079,40478,17.549097,83.508148,37.483482,.73256499,.56059915,1,04/05/2020,04/05/2020,195.2,88.699997,2.60759272388241,0.000475880621946837,0.36845818249327,739,590,85,85,0,38.85191,44.682228,12.4,5.1999998,20.92,16.24
Alabama,Fayette,1057,16783,85.229103,12.238575,.85801107,14.770899,50.479652,34.814991,19.549543,36205,20.7691,85.854652,80.233162,.81367439,.62706196,1,04/05/2020,04/05/2020,27.5,13.4,2.56435635145362,0.000680254755405899,0.35962691538974,61,45,8,8,0,43.114941,41.019115,10.3,4.5999999,21,16.35
Alabama,Franklin,1059,31573,78.073036,4.0604315,16.01685,21.926964,50.739555,39.460934,16.035854,36138,24.331039,87.609901,70.366516,.78621262,.54889446,1,04/05/2020,04/05/2020,50,22.1,2.5800404396739,0.000440964529243477,0.390977218524543,125,74,11,11,0,38.755539,42.170116,9.5,4.0999999,19.07,16.23
Alabama,Geneva,1061,26765,84.061272,9.4227533,3.7063329,15.938725,51.160099,35.273678,18.950121,36519,22.313215,88.338211,89.641655,.84997451,.57314157,1,04/05/2020,04/05/2020,46.599998,22.1,2.46512524280215,0.000258650856844358,0.392977846323746,83,73,6,6,0,42.279484,44.717922,12,6.4000001,20.959999,15.88
