"","fips","state","county","obesity","sufficient_phys_activity","binge_drinker","heavy_drinker","smoke_daily","diabetes"
"1",1001,"alabama","autauga county",37.9671891664071,50.1688371112862,13.2,6.3,18.41,15.45
"2",1003,"alabama","baldwin county",33.6895685951773,51.8319766274381,16.9,9.3,16.02,13.44
"3",1005,"alabama","barbour county",46.2529402338202,40.6327366427505,12.4,6.4,18.73,19.36
"4",1007,"alabama","bibb county",42.7575147283439,40.2704608335152,11.4,5.5,22.62,16.68
"5",1009,"alabama","blount county",39.9816395101357,40.3361547049998,10.3,5,19.88,15.06
"6",1011,"alabama","bullock county",48.3850925416896,39.0706120579073,14.1,7,18.49,23.33
"7",1013,"alabama","butler county",45.3626438153435,42.3802324915262,12,6,20.22,18.87
"8",1015,"alabama","calhoun county",39.7360371757245,44.5328171912425,11.8,5.3,19.94,16.51
"9",1017,"alabama","chambers county",44.3323162355692,40.5384465877539,13.4,7,20.96,18.45
"10",1019,"alabama","cherokee county",40.6042202470276,42.7736084497287,9.8,4.8,19.77,15.27
"11",1021,"alabama","chilton county",43.06183855372,41.0170668835781,10.8,5,21.08,15.56
"12",1023,"alabama","choctaw county",45.7050335522043,38.3853964932535,10.5,5.1,17.62,19.38
"13",1025,"alabama","clarke county",44.3216184724964,42.6397793519916,11.5,5.1,17.74,18.72
"14",1027,"alabama","clay county",42.353710163652,41.5018863049096,9.9,4.7,22.55,15.75
"15",1029,"alabama","cleburne county",39.333529922522,44.0447508682875,10.3,5.1,22.84,15.11
"16",1031,"alabama","coffee county",39.3635997437335,47.2185552975094,13,6.7,16.66,15.64
"17",1033,"alabama","colbert county",40.9259737635041,46.4480295068715,11.9,5.4,18.69,16.54
"18",1035,"alabama","conecuh county",45.1607559721802,38.8077865134563,13.4,6.9,19.82,19.9
"19",1037,"alabama","coosa county",45.0302296559494,41.9933339110842,11.6,6,22.47,17.71
"20",1039,"alabama","covington county",40.5957121673507,43.0551126704621,12.7,6.4,21.41,15.23
"21",1041,"alabama","crenshaw county",42.7921846684884,45.6833151157774,10.8,5.6,20.37,17.27
"22",1043,"alabama","cullman county",38.9387806880084,43.2224232022486,9.6,3.9,20.13,15.03
"23",1045,"alabama","dale county",41.6351989015144,49.5256554098426,12.8,6.5,17.57,16.78
"24",1047,"alabama","dallas county",48.7220511182109,39.4892332268371,13.1,5.2,18.02,21.94
"25",1049,"alabama","dekalb county",39.922914258392,41.2271148518472,9.7,4.6,20.89,16.01
"26",1051,"alabama","elmore county",38.1342501544708,49.6254744461118,13.4,7.1,19.18,15.67
"27",1053,"alabama","escambia county",42.8307474099011,42.8978665935959,12.2,6.2,20.77,17.65
"28",1055,"alabama","etowah county",38.8519109451307,44.6822286699224,12.4,5.2,20.92,16.24
"29",1057,"alabama","fayette county",43.1149405486921,41.0191154805406,10.3,4.6,21,16.35
