"","fips","beds_licensed","beds_staffed","beds_ICU","beds_ICU_adult","beds_ICU_pediatric"
"1",1001,85,55,6,6,0
"2",1003,386,362,51,51,0
"3",1005,74,30,5,5,0
"4",1007,35,25,4,4,0
"5",1009,25,25,6,6,0
"6",1011,61,30,5,5,0
"7",1013,72,44,7,7,0
"8",1015,486,413,30,30,0
"9",1017,115,0,15,15,0
"10",1019,60,45,8,8,0
"11",1021,30,26,6,6,0
"12",1023,25,25,4,4,0
"13",1025,85,56,10,10,0
"14",1027,45,46,4,4,0
"15",1031,131,99,7,7,0
"16",1033,383,300,22,22,0
"17",1035,58,44,8,8,0
"18",1039,187,128,13,13,0
"19",1041,93,57,5,5,0
"20",1043,185,185,12,12,0
"21",1045,89,77,6,6,0
"22",1047,175,109,23,23,0
"23",1049,134,97,12,12,0
"24",1051,138,70,11,11,0
"25",1053,142,95,14,14,0
"26",1055,739,590,85,85,0
"27",1057,61,45,8,8,0
"28",1059,125,74,11,11,0
"29",1061,83,73,6,6,0
"30",1063,20,20,4,4,0
"31",1065,39,28,5,5,0
"32",1069,790,769,72,72,22
"33",1071,170,92,10,10,0
"34",1073,4768,3779,393,393,264
"35",1077,263,233,36,36,0
"36",1079,98,43,6,6,0
"37",1081,314,372,20,20,0
"38",1083,102,97,18,18,0
"39",1087,143,143,0,0,0
"40",1089,1241,1240,99,99,49
"41",1091,99,37,5,5,0
"42",1093,120,97,8,8,0
"43",1095,150,150,20,20,0
"44",1097,1930,1490,246,246,118
"45",1099,94,49,8,8,0
"46",1101,1204,1018,86,86,65
"47",1103,273,200,23,23,0
"48",1109,97,97,9,9,0
"49",1111,15,15,3,3,0
"50",1113,128,105,10,10,0
"51",1115,40,40,6,6,0
"52",1117,286,246,32,32,0
"53",1119,33,33,6,6,0
"54",1121,290,207,14,14,0
"55",1123,127,80,14,14,0
"56",1125,1003,777,57,57,51
"57",1127,267,207,12,12,0
"58",1129,25,15,3,3,0
"59",1131,30,21,4,4,0
"60",1133,49,49,4,4,0
"61",2020,1102,979,109,109,76
"62",2050,50,34,6,6,0
"63",2070,16,16,3,3,0
"64",2090,175,145,13,13,0
"65",2110,73,45,9,9,0
"66",2122,77,76,11,11,0
"67",2130,25,25,4,4,0
"68",2150,25,24,4,4,0
"69",2170,125,74,14,14,0
"70",2180,18,18,3,3,0
"71",2185,10,20,3,3,0
"72",2188,17,17,3,3,0
"73",2195,12,12,2,2,0
"74",2220,25,25,4,4,0
"75",2261,24,24,4,4,0
"76",2275,8,8,1,1,0
"77",4001,162,162,29,29,0
"78",4003,160,135,22,22,0
"79",4005,418,396,61,61,18
"80",4007,50,50,8,8,0
"81",4009,176,57,10,10,0
"82",4012,42,42,6,6,0
"83",4013,11544,9775,1137,1137,335
"84",4015,610,551,80,80,0
"85",4017,188,176,24,24,0
"86",4019,3367,2860,377,377,159
"87",4021,306,401,39,39,0
"88",4023,25,25,4,4,0
"89",4025,385,302,43,43,0
"90",4027,456,447,42,42,20
"91",5001,74,74,13,13,0
"92",5003,33,25,6,6,0
"93",5005,268,170,17,17,0
"94",5007,342,311,34,34,8
"95",5009,174,120,24,24,0
"96",5011,33,25,4,4,0
"97",5015,40,40,8,8,0
"98",5017,35,35,4,4,0
"99",5019,25,25,4,4,0
"100",5021,25,25,4,4,0
"101",5023,25,25,4,4,0
"102",5027,49,30,6,6,0
"103",5029,25,25,4,4,0
"104",5031,730,553,74,74,12
"105",5033,103,35,8,8,0
"106",5035,65,63,2,2,0
"107",5037,25,15,3,3,0
"108",5039,25,22,4,4,0
"109",5041,50,50,8,8,0
"110",5043,49,49,5,5,0
"111",5045,357,355,25,25,0
"112",5047,25,25,4,4,0
"113",5049,25,25,4,4,0
"114",5051,562,423,48,48,0
"115",5055,129,114,8,8,0
"116",5057,79,67,8,8,0
"117",5059,72,64,6,6,0
"118",5061,20,20,6,6,0
"119",5063,235,184,12,12,0
"120",5065,25,25,4,4,0
"121",5069,471,271,34,34,0
"122",5071,90,57,8,8,0
"123",5075,25,25,4,4,0
"124",5081,25,25,4,4,0
"125",5083,41,40,7,7,0
"126",5091,62,50,0,0,0
"127",5093,124,124,9,9,0
"128",5103,98,82,8,8,0
"129",5107,155,127,6,6,0
"130",5113,65,41,6,6,0
"131",5115,170,137,11,11,0
"132",5119,4324,3570,220,220,168
"133",5121,50,32,2,2,0
"134",5123,118,56,6,6,0
"135",5125,257,207,16,16,0
"136",5127,24,24,4,4,0
"137",5131,1081,779,80,80,25
"138",5137,25,25,4,4,0
"139",5139,166,111,16,16,0
"140",5141,25,25,4,4,0
"141",5143,1068,836,78,78,34
"142",5145,272,272,17,17,0
"143",5149,76,55,9,9,0
"144",6001,3464,3564,331,331,151
"145",6005,52,52,6,6,0
"146",6007,401,471,47,47,6
"147",6009,25,25,5,5,0
"148",6013,1696,1636,172,172,97
"149",6015,49,39,6,6,0
"150",6017,190,189,28,28,0
"151",6019,1848,2999,418,418,104
"152",6021,47,15,3,3,0
"153",6023,276,233,27,27,5
"154",6025,268,268,28,28,0
"155",6027,29,29,5,5,0
"156",6029,1535,1497,160,160,77
"157",6031,173,142,22,22,0
"158",6033,62,50,8,8,0
"159",6035,25,25,4,4,0
"160",6037,23259,22002,2352,2352,1147
"161",6039,464,464,52,52,116
"162",6041,441,441,47,47,8
"163",6043,18,18,3,3,0
"164",6045,142,100,14,14,2
"165",6047,106,242,24,24,0
"166",6049,20,20,4,4,0
"167",6051,17,17,2,2,0
"168",6053,678,709,47,47,34
"169",6055,510,318,48,48,6
"170",6057,137,129,10,10,0
"171",6059,5686,5751,703,703,316
"172",6061,748,693,70,70,64
"173",6063,35,42,8,8,0
"174",6065,3537,3434,385,385,107
"175",6067,3295,3159,377,377,192
"176",6069,25,49,8,8,0
"177",6071,4789,6221,611,611,305
"178",6073,6415,6345,698,698,320
"179",6075,2860,2784,404,404,129
"180",6077,2161,1334,110,110,79
"181",6079,780,1685,63,63,22
"182",6081,2217,1920,133,133,16
"183",6083,826,631,84,84,51
"184",6085,4382,4252,445,445,276
"185",6087,372,354,27,27,24
"186",6089,590,571,96,96,16
"187",6093,61,50,8,8,0
"188",6095,1519,1017,104,104,16
"189",6097,817,824,82,82,12
"190",6099,1394,1380,123,123,63
"191",6101,30,30,2,2,0
"192",6103,92,65,11,11,0
"193",6105,25,25,4,4,0
"194",6107,830,746,84,84,15
"195",6109,72,84,6,6,0
"196",6111,1379,1388,162,162,76
"197",6113,122,125,14,14,0
"198",6115,221,149,24,24,6
"199",8001,1559,1454,232,232,148
"200",8003,49,49,6,6,0
"201",8005,1241,1060,148,148,45
"202",8007,11,11,2,2,0
"203",8009,23,15,3,3,0
"204",8013,856,715,72,72,44
"205",8014,40,22,4,4,0
"206",8015,25,25,2,2,0
"207",8017,25,11,2,2,0
"208",8021,17,17,3,3,0
"209",8029,49,49,6,6,0
"210",8031,3071,2030,294,294,126
"211",8035,778,771,70,70,44
"212",8037,56,56,5,5,0
"213",8041,1348,1294,130,130,130
"214",8043,25,25,4,4,0
"215",8045,103,53,8,8,2
"216",8049,23,21,3,3,0
"217",8051,24,20,3,3,0
"218",8055,20,16,3,3,0
"219",8059,641,474,104,104,20
"220",8061,25,25,4,4,0
"221",8063,19,19,3,3,0
"222",8065,25,8,1,1,0
"223",8067,94,94,13,13,0
"224",8069,742,712,64,64,25
"225",8071,25,25,4,4,0
"226",8073,15,15,3,3,0
"227",8075,25,25,4,4,0
"228",8077,495,399,35,35,0
"229",8081,25,25,4,4,0
"230",8083,25,25,4,4,0
"231",8085,75,50,8,8,0
"232",8087,75,61,10,10,0
"233",8089,25,0,5,5,0
"234",8095,40,40,7,7,0
"235",8097,25,25,4,4,0
"236",8099,25,25,4,4,0
"237",8101,1252,494,17,17,0
"238",8103,35,35,6,6,0
"239",8105,17,17,3,3,0
"240",8107,39,39,4,4,0
"241",8115,15,9,2,2,0
"242",8117,35,34,8,8,0
"243",8119,15,15,3,3,0
"244",8123,428,225,33,33,0
"245",8125,30,30,6,6,0
"246",9001,1713,1713,173,173,26
"247",9003,3086,2948,476,476,118
"248",9005,157,157,21,21,0
"249",9007,736,736,40,40,0
"250",9009,1717,1717,201,201,107
"251",9011,419,419,25,25,13
"252",9013,209,209,16,16,0
"253",9015,148,148,14,14,0
"254",10001,404,414,29,29,15
"255",10003,2094,1715,183,183,6
"256",10005,567,507,52,52,0
"257",11001,4098,3077,407,407,113
"258",12001,2050,1549,233,233,130
"259",12003,1163,81,4,4,0
"260",12005,707,676,77,77,32
"261",12007,49,25,4,4,0
"262",12009,1807,1867,288,288,0
"263",12011,6025,4702,525,525,191
"264",12013,25,15,3,3,0
"265",12015,715,595,51,51,7
"266",12017,332,332,40,40,0
"267",12019,503,459,42,42,16
"268",12021,633,773,81,81,19
"269",12023,468,456,28,28,0
"270",12027,49,49,8,8,0
"271",12031,3456,3119,416,416,156
"272",12033,1648,1258,111,111,82
"273",12035,99,99,18,18,0
"274",12037,25,25,4,4,0
"275",12039,949,24,4,4,0
"276",12045,19,19,3,3,0
"277",12049,25,25,4,4,0
"278",12051,25,25,3,3,0
"279",12053,616,546,44,44,10
"280",12055,273,259,38,38,0
"281",12057,4056,3564,460,460,205
"282",12059,20,20,3,3,0
"283",12061,566,511,43,43,0
"284",12063,100,66,7,7,0
"285",12069,851,783,129,129,0
"286",12071,1614,1232,151,151,152
"287",12073,1208,822,61,61,30
"288",12079,25,25,4,4,0
"289",12081,895,867,113,113,6
"290",12083,910,817,116,116,0
"291",12085,388,366,66,66,0
"292",12086,7842,7771,858,858,258
"293",12087,147,129,14,14,0
"294",12089,62,54,9,9,0
"295",12091,493,441,51,51,10
"296",12093,100,100,8,8,0
"297",12095,3043,4291,349,349,295
"298",12097,628,575,66,66,24
"299",12099,4440,3967,427,427,136
"300",12101,1407,1384,143,143,12
"301",12103,3874,3307,285,285,122
"302",12105,1736,1580,145,145,45
"303",12107,99,99,10,10,0
"304",12109,335,335,47,47,7
"305",12111,873,728,77,77,6
"306",12113,355,294,20,20,0
"307",12115,1542,1277,128,128,33
"308",12117,345,332,39,39,0
"309",12119,347,317,62,62,0
"310",12121,25,25,4,4,0
"311",12123,48,48,6,6,0
"312",12125,145,145,25,25,0
"313",12127,1453,1434,264,264,16
"314",12131,136,112,28,28,0
"315",12133,59,25,4,4,0
"316",13001,49,34,3,3,0
"317",13005,25,25,4,4,0
"318",13009,365,280,12,12,0
"319",13013,56,56,6,6,0
"320",13015,119,119,21,21,0
"321",13017,75,48,5,5,0
"322",13019,63,51,9,9,0
"323",13021,1184,992,126,126,77
"324",13023,25,15,3,3,0
"325",13027,25,25,4,4,0
"326",13031,195,182,31,31,0
"327",13033,40,40,7,7,0
"328",13035,25,25,4,4,0
"329",13039,40,40,5,5,0
"330",13043,25,25,6,6,0
"331",13045,326,197,28,28,0
"332",13047,179,36,6,6,0
"333",13051,1569,1304,89,89,74
"334",13053,250,250,0,0,0
"335",13057,126,114,20,20,0
"336",13059,597,564,99,99,20
"337",13063,538,441,35,35,0
