"","occ1990dd","teleworkable"
"1",4,TRUE
"2",7,TRUE
"3",8,TRUE
"4",9,TRUE
"5",13,TRUE
"6",14,TRUE
"7",15,TRUE
"8",18,TRUE
"9",19,FALSE
"10",22,TRUE
"11",23,TRUE
"12",24,TRUE
"13",25,TRUE
"14",26,TRUE
"15",27,TRUE
"16",28,FALSE
"17",29,TRUE
"18",33,TRUE
"19",34,FALSE
"20",35,FALSE
"21",36,TRUE
"22",37,TRUE
"23",43,TRUE
"24",44,FALSE
"25",45,TRUE
"26",47,TRUE
"27",48,TRUE
"28",53,FALSE
"29",55,TRUE
"30",56,TRUE
"31",57,TRUE
"32",58,FALSE
"33",59,TRUE
"34",64,FALSE
"35",65,TRUE
"36",66,TRUE
"37",68,TRUE
"38",69,TRUE
"39",73,TRUE
"40",74,TRUE
"41",75,TRUE
"42",76,TRUE
"43",77,TRUE
"44",78,TRUE
"45",79,FALSE
"46",83,FALSE
"47",84,FALSE
"48",85,FALSE
"49",86,FALSE
"50",87,TRUE
"51",88,FALSE
"52",89,FALSE
"53",95,FALSE
"54",96,TRUE
"55",97,FALSE
"56",98,FALSE
"57",99,TRUE
"58",103,TRUE
"59",104,TRUE
"60",105,FALSE
"61",106,FALSE
"62",154,TRUE
"63",155,TRUE
"64",156,TRUE
"65",157,TRUE
"66",158,TRUE
"67",159,TRUE
"68",163,TRUE
"69",164,TRUE
"70",165,TRUE
"71",166,TRUE
"72",167,TRUE
"73",169,TRUE
"74",173,TRUE
"75",174,TRUE
"76",175,TRUE
"77",176,FALSE
"78",177,FALSE
"79",178,TRUE
"80",183,TRUE
"81",184,TRUE
"82",185,FALSE
"83",186,FALSE
"84",187,TRUE
"85",188,FALSE
"86",189,FALSE
"87",193,FALSE
"88",194,FALSE
"89",195,TRUE
"90",197,TRUE
"91",198,FALSE
"92",199,FALSE
"93",203,TRUE
"94",204,FALSE
"95",205,FALSE
"96",206,TRUE
"97",207,FALSE
"98",208,TRUE
"99",214,TRUE
"100",217,TRUE
"101",218,TRUE
"102",223,TRUE
"103",224,TRUE
"104",226,FALSE
"105",227,FALSE
"106",228,TRUE
"107",229,FALSE
"108",233,FALSE
"109",234,TRUE
"110",235,TRUE
"111",243,TRUE
"112",253,FALSE
"113",254,TRUE
"114",255,TRUE
"115",256,TRUE
"116",258,TRUE
"117",269,TRUE
"118",270,FALSE
"119",274,TRUE
"120",275,FALSE
"121",276,TRUE
"122",277,FALSE
"123",283,FALSE
"124",285,TRUE
"125",303,TRUE
"126",308,FALSE
"127",313,TRUE
"128",315,FALSE
"129",316,TRUE
"130",317,TRUE
"131",318,FALSE
"132",319,FALSE
"133",326,TRUE
"134",328,FALSE
"135",329,TRUE
"136",335,TRUE
"137",336,TRUE
"138",337,TRUE
"139",338,TRUE
"140",344,TRUE
"141",347,FALSE
"142",348,TRUE
"143",349,TRUE
"144",354,FALSE
"145",355,FALSE
"146",356,FALSE
"147",357,FALSE
"148",359,TRUE
"149",364,TRUE
"150",365,TRUE
"151",366,FALSE
"152",368,TRUE
"153",373,TRUE
"154",375,TRUE
"155",376,TRUE
"156",377,TRUE
"157",378,TRUE
"158",379,TRUE
"159",383,FALSE
"160",384,TRUE
"161",385,TRUE
"162",386,TRUE
"163",387,TRUE
"164",389,TRUE
"165",405,FALSE
"166",408,FALSE
